Index,Match
6118,24
6119,24
6120,24
6121,24
6122,24
6123,24
6130,24
6131,24
6132,24
6133,24
6134,24
6135,24
6143,24
6144,24
6145,24
6146,24
6147,24
6148,24
6193,24
6194,24
6195,24
6196,24
6197,24
6198,24
6199,24
6996,28
6997,28
6998,28
6999,28
7000,28
7001,28
7002,28
7009,28
7010,28
7011,28
7012,28
7013,28
7014,28
7075,28
7076,28
7077,28
7078,28
7079,28
7080,28
7093,28
7094,28
7095,28
7096,28
7097,28
7098,28
13518,53
13519,53
13520,53
13521,53
13522,53
13523,53
13524,53
13538,53
13539,53
13540,53
13541,53
13542,53
13543,53
13594,53
13595,53
13596,53
13597,53
13598,53
13599,53
13606,53
13607,53
13608,53
13609,53
13610,53
13611,53
14565,58
14566,58
14567,58
14568,58
14569,58
14570,58
14577,58
14578,58
14579,58
14580,58
14581,58
14582,58
14583,58
14632,58
14633,58
14634,58
14635,58
14636,58
14637,58
14663,58
14664,58
14665,58
14666,58
14667,58
14668,58
14669,58
14922,59
14923,59
14924,59
14925,59
14926,59
14927,59
14972,59
14973,59
14974,59
14975,59
14976,59
14977,59
14984,59
14985,59
14986,59
14987,59
14988,59
14989,59
15033,59
15034,59
15035,59
15036,59
15037,59
15038,59
15626,62
15627,62
15628,62
15629,62
15630,62
15631,62
15650,62
15651,62
15652,62
15653,62
15654,62
15655,62
15680,62
15681,62
15682,62
15683,62
15684,62
15685,62
15692,62
15693,62
15694,62
15695,62
15696,62
15697,62
17436,69
17437,69
17438,69
17439,69
17440,69
17441,69
17442,69
17443,69
17450,69
17451,69
17452,69
17453,69
17454,69
17455,69
17456,69
17542,69
17543,69
17544,69
17545,69
17546,69
17547,69
17548,69
21504,85
21505,85
21506,85
21507,85
21508,85
21509,85
21522,85
21523,85
21524,85
21525,85
21526,85
21527,85
21546,85
21547,85
21548,85
21549,85
21550,85
21551,85
21584,85
21585,85
21586,85
21587,85
21588,85
21589,85
22279,88
22280,88
22281,88
22282,88
22283,88
22284,88
22285,88
22348,88
22349,88
22350,88
22351,88
22352,88
22353,88
22385,88
22386,88
22387,88
22388,88
22389,88
22390,88
23281,92
23282,92
23283,92
23284,92
23285,92
23286,92
23305,92
23306,92
23307,92
23308,92
23309,92
23310,92
23354,92
23355,92
23356,92
23357,92
23358,92
23359,92
23379,92
23380,92
23381,92
23382,92
23383,92
23384,92
24329,96
24330,96
24331,96
24332,96
24333,96
24334,96
24397,96
24398,96
24399,96
24400,96
24401,96
24402,96
24421,96
24422,96
24423,96
24424,96
24425,96
24426,96
24427,96
24428,96
144899,563
144900,563
144901,563
144902,563
144903,563
144904,563
144911,563
144912,563
144913,563
144914,563
144915,563
144916,563
144917,563
144987,563
144988,563
144989,563
144990,563
144991,563
144992,563
144993,563
145817,566
145818,566
145819,566
145820,566
145821,566
145822,566
145829,566
145830,566
145831,566
145832,566
145833,566
145834,566
145842,566
145843,566
145844,566
145845,566
145846,566
145847,566
145929,566
145930,566
145931,566
145932,566
145933,566
145934,566
145935,566
145936,566
146860,570
146861,570
146862,570
146863,570
146864,570
146865,570
146866,570
146873,570
146874,570
146875,570
146876,570
146877,570
146878,570
146910,570
146911,570
146912,570
146913,570
146914,570
146915,570
146960,570
146961,570
146962,570
146963,570
146964,570
146965,570
148141,575
148142,575
148143,575
148144,575
148145,575
148146,575
148147,575
148155,575
148156,575
148157,575
148158,575
148159,575
148160,575
148229,575
148230,575
148231,575
148232,575
148233,575
148234,575
148241,575
148242,575
148243,575
148244,575
148245,575
148246,575
150148,583
150149,583
150150,583
150151,583
150152,583
150153,583
150154,583
150161,583
150162,583
150163,583
150164,583
150165,583
150166,583
150238,583
150239,583
150240,583
150241,583
150242,583
150243,583
150244,583
150270,583
150271,583
150272,583
150273,583
150274,583
150275,583
152749,593
152750,593
152751,593
152752,593
152753,593
152754,593
152755,593
152762,593
152763,593
152764,593
152765,593
152766,593
152767,593
152828,593
152829,593
152830,593
152831,593
152832,593
152833,593
152846,593
152847,593
152848,593
152849,593
152850,593
152851,593
153902,597
153903,597
153904,597
153905,597
153906,597
153907,597
153914,597
153915,597
153916,597
153917,597
153918,597
153919,597
153926,597
153927,597
153928,597
153929,597
153930,597
153931,597
154001,597
154002,597
154003,597
154004,597
154005,597
154006,597
154977,601
154978,601
154979,601
154980,601
154981,601
154982,601
154983,601
154990,601
154991,601
154992,601
154993,601
154994,601
154995,601
154996,601
155063,601
155064,601
155065,601
155066,601
155067,601
155068,601
155069,601
155083,601
155084,601
155085,601
155086,601
155087,601
155088,601
155513,603
155514,603
155515,603
155516,603
155517,603
155518,603
155525,603
155526,603
155527,603
155528,603
155529,603
155530,603
155598,603
155599,603
155600,603
155601,603
155602,603
155603,603
157286,610
157287,610
157288,610
157289,610
157290,610
157291,610
157298,610
157299,610
157300,610
157301,610
157302,610
157303,610
157366,610
157367,610
157368,610
157369,610
157370,610
157371,610
157372,610
157373,610
158309,614
158310,614
158311,614
158312,614
158313,614
158314,614
158321,614
158322,614
158323,614
158324,614
158325,614
158326,614
158333,614
158334,614
158335,614
158336,614
158337,614
158338,614
158411,614
158412,614
158413,614
158414,614
158415,614
158416,614
159504,619
159505,619
159506,619
159507,619
159508,619
159509,619
159516,619
159517,619
159518,619
159519,619
159520,619
159521,619
159589,619
159590,619
159591,619
159592,619
159593,619
159594,619
159607,619
159608,619
159609,619
159610,619
159611,619
159612,619
160778,624
160779,624
160780,624
160781,624
160782,624
160783,624
160784,624
160805,624
160806,624
160807,624
160808,624
160809,624
160810,624
160855,624
160856,624
160857,624
160858,624
160859,624
160860,624
160885,624
160886,624
160887,624
160888,624
160889,624
160890,624
161702,627
161703,627
161704,627
161705,627
161706,627
161707,627
161708,627
161715,627
161716,627
161717,627
161718,627
161719,627
161720,627
161727,627
161728,627
161729,627
161730,627
161731,627
161732,627
161802,627
161803,627
161804,627
161805,627
161806,627
161807,627
163279,634
163280,634
163281,634
163282,634
163283,634
163284,634
163291,634
163292,634
163293,634
163294,634
163295,634
163296,634
163351,634
163352,634
163353,634
163354,634
163355,634
163356,634
163387,634
163388,634
163389,634
163390,634
163391,634
163392,634
163793,636
163794,636
163795,636
163796,636
163797,636
163798,636
163805,636
163806,636
163807,636
163808,636
163809,636
163810,636
163817,636
163818,636
163819,636
163820,636
163821,636
163822,636
163823,636
164189,637
164190,637
164191,637
164192,637
164193,637
164194,637
164195,637
164203,637
164204,637
164205,637
164206,637
164207,637
164208,637
164227,637
164228,637
164229,637
164230,637
164231,637
164232,637
164282,637
164283,637
164284,637
164285,637
164286,637
164287,637
164288,637
164862,640
164863,640
164864,640
164865,640
164866,640
164867,640
164882,640
164883,640
164884,640
164885,640
164886,640
164887,640
164944,640
164945,640
164946,640
164947,640
164948,640
164949,640
164950,640
164958,640
164959,640
164960,640
164961,640
164962,640
164963,640
165907,644
165908,644
165909,644
165910,644
165911,644
165912,644
165932,644
165933,644
165934,644
165935,644
165936,644
165937,644
165938,644
165994,644
165995,644
165996,644
165997,644
165998,644
165999,644
166012,644
166013,644
166014,644
166015,644
166016,644
166017,644
166532,646
166533,646
166534,646
166535,646
166536,646
166537,646
166544,646
166545,646
166546,646
166547,646
166548,646
166549,646
166550,646
166551,646
166620,646
166621,646
166622,646
166623,646
166624,646
166625,646
166632,646
166633,646
166634,646
166635,646
166636,646
166637,646
168049,652
168050,652
168051,652
168052,652
168053,652
168054,652
168061,652
168062,652
168063,652
168064,652
168065,652
168066,652
168135,652
168136,652
168137,652
168138,652
168139,652
168140,652
168154,652
168155,652
168156,652
168710,655
168711,655
168712,655
168713,655
168714,655
168715,655
168722,655
168723,655
168724,655
168725,655
168726,655
168727,655
168734,655
168735,655
168736,655
168737,655
168738,655
168739,655
168812,655
168813,655
168814,655
168815,655
168816,655
168817,655
168818,655
169883,659
169884,659
169885,659
169886,659
169887,659
169888,659
169895,659
169896,659
169897,659
169898,659
169899,659
169900,659
169901,659
169950,659
169951,659
169952,659
169953,659
169954,659
169955,659
169974,659
169975,659
169976,659
169977,659
169978,659
169979,659
169980,659
171717,666
171718,666
171719,666
171720,666
171721,666
171722,666
171729,666
171730,666
171731,666
171732,666
171733,666
171734,666
171808,666
171809,666
171810,666
171811,666
171812,666
171813,666
171820,666
171821,666
171822,666
171823,666
171824,666
171825,666
172256,668
172257,668
172258,668
172259,668
172260,668
172261,668
172274,668
172275,668
172276,668
172277,668
172278,668
172279,668
172336,668
172337,668
172338,668
172339,668
172340,668
172341,668
172349,668
172350,668
172351,668
172352,668
172353,668
172354,668
172960,671
172961,671
172962,671
172963,671
172964,671
172965,671
172972,671
172973,671
172974,671
172975,671
172976,671
172977,671
173029,671
173030,671
173031,671
173032,671
173033,671
173034,671
174148,676
174149,676
174150,676
174151,676
174152,676
174153,676
174154,676
174161,676
174162,676
174163,676
174164,676
174165,676
174166,676
174167,676
174168,676
174177,676
174178,676
174179,676
174180,676
174181,676
174182,676
174244,676
174245,676
174246,676
174247,676
174248,676
174249,676
178343,692
178344,692
178345,692
178346,692
178347,692
178348,692
178355,692
178356,692
178357,692
178358,692
178359,692
178360,692
178417,692
178418,692
178419,692
178420,692
178421,692
178422,692
178441,692
178792,694
178793,694
178794,694
178795,694
178796,694
178797,694
178804,694
178805,694
178806,694
178807,694
178808,694
178809,694
178810,694
178848,694
178849,694
178850,694
178851,694
178852,694
178853,694
178854,694
178897,694
178898,694
178899,694
178900,694
178901,694
178902,694
179436,696
179437,696
179438,696
179439,696
179440,696
179441,696
179454,696
179455,696
179456,696
179457,696
179458,696
179459,696
179460,696
179531,696
179532,696
179533,696
179534,696
179535,696
179536,696
179543,696
179544,696
179545,696
179546,696
179547,696
179548,696
179549,696
179550,696
179551,696
179705,697
179706,697
179707,697
179708,697
179709,697
179710,697
179717,697
179718,697
179719,697
179720,697
179721,697
179722,697
179723,697
179724,697
179793,697
179794,697
179795,697
179796,697
179797,697
179798,697
179819,697
179820,697
179821,697
179822,697
179823,697
179824,697
180420,700
180421,700
180422,700
180423,700
180424,700
180425,700
180426,700
180433,700
180434,700
180435,700
180436,700
180437,700
180438,700
180439,700
180440,700
180460,700
180461,700
180462,700
180463,700
180464,700
180465,700
180466,700
180467,700
180487,700
180488,700
180489,700
180490,700
180491,700
180492,700
181602,704
181603,704
181604,704
181605,704
181606,704
181607,704
181620,704
181621,704
181622,704
181623,704
181624,704
181625,704
181638,704
181639,704
181640,704
181641,704
181642,704
181643,704
181664,704
181665,704
181666,704
181667,704
181668,704
181669,704
182658,708
182659,708
182660,708
182661,708
182662,708
182663,708
182676,708
182677,708
182678,708
182679,708
182680,708
182681,708
182688,708
182689,708
182690,708
182691,708
182692,708
182693,708
182712,708
182713,708
182714,708
182715,708
182716,708
182717,708
182718,708
183716,712
183717,712
183718,712
183719,712
183720,712
183721,712
183746,712
183747,712
183748,712
183749,712
183750,712
183751,712
183765,712
183766,712
183767,712
183768,712
183769,712
183770,712
183789,712
183790,712
183791,712
183792,712
183793,712
184627,716
184628,716
184629,716
184630,716
184631,716
184632,716
184640,716
184641,716
184642,716
184643,716
184644,716
184645,716
184671,716
184672,716
184673,716
184674,716
184675,716
184676,716
184713,716
184714,716
184715,716
184716,716
184717,716
184718,716
184719,716
184720,716
186184,722
186185,722
186186,722
186187,722
186188,722
186189,722
186190,722
186212,722
186213,722
186214,722
186215,722
186216,722
186217,722
186218,722
186225,722
186226,722
186227,722
186228,722
186229,722
186230,722
186268,722
186269,722
186270,722
186271,722
186272,722
186273,722
186629,724
186630,724
186631,724
186632,724
186633,724
186634,724
186641,724
186642,724
186643,724
186644,724
186645,724
186646,724
186701,724
186702,724
186703,724
186704,724
186705,724
186706,724
186725,724
186726,724
186727,724
186728,724
186729,724
186730,724
188518,732
188519,732
188520,732
188521,732
188522,732
188523,732
188536,732
188537,732
188538,732
188539,732
188540,732
188541,732
188572,732
188573,732
188574,732
188575,732
188576,732
188577,732
188597,732
188598,732
188599,732
188600,732
188601,732
188602,732
189832,737
189833,737
189834,737
189835,737
189836,737
189837,737
189845,737
189846,737
189847,737
